circuit_entrant_id,circuit_id,player_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,6
6,1,11
7,1,18
8,1,21
9,1,24
10,1,25
11,1,26
12,2,11
13,2,18
14,2,21
15,2,29
16,2,30
17,3,1
18,3,2
19,3,6
20,3,7
21,3,9
22,3,14
23,3,19
24,4,1
25,4,2
26,4,3
27,4,4
28,4,5
29,4,6
30,4,7
31,4,8
32,5,1
33,5,2
34,5,3
35,5,4
36,5,5
37,5,6
38,5,7
39,5,8
40,5,9
41,5,10
42,5,11
43,5,12
44,5,13
45,5,14
46,5,15
47,5,16
48,5,17
49,5,18
50,5,19
51,5,20
52,5,21
53,5,22
54,5,23
55,5,24
56,5,25
57,5,26
58,5,27
59,5,28
60,5,29
61,5,30
62,5,31
63,5,32
64,5,33
65,5,34
