cron_id,run_date,job_type
1,2019-10-17,SLACKBOT_RATINGS
2,2019-10-23,SLACKBOT_RATINGS
3,2019-10-23,SLACKBOT_RATINGS
4,2019-10-24,SLACKBOT_RATINGS
5,2019-10-25,SLACKBOT_RATINGS
6,2019-10-29,SLACKBOT_RATINGS
7,2019-10-30,SLACKBOT_RATINGS
8,2019-10-30,SLACKBOT_RATINGS
9,2019-10-31,SLACKBOT_RATINGS
10,2019-10-31,SLACKBOT_RATINGS
11,2019-11-01,SLACKBOT_RATINGS
12,2019-11-04,SLACKBOT_RATINGS
13,2019-11-05,SLACKBOT_RATINGS
14,2019-11-06,SLACKBOT_RATINGS
15,2019-11-07,SLACKBOT_RATINGS
16,2019-11-08,SLACKBOT_RATINGS
